CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C0027708	C0848558	Nephroblastoma	Hypospadias	12539	6633	70											
C0270862	C1720416	Hemiplegic migraine	Episodic ataxia type 2	999	235	70											
C0010674	C0035220	Cystic Fibrosis	"Respiratory Distress Syndrome, Newborn"	49380	17357	70											
C0686353	C1449563	"Muscular Dystrophies, Limb-Girdle"	"Cardiomyopathy, Familial Idiopathic"	1891	21940	70											
C0021655	C2973725	Insulin Resistance	Pulmonary arterial hypertension	113459	19359	69											
C0028326	C0349639	Noonan Syndrome	Juvenile Myelomonocytic Leukemia	2113	658	69											
C0085110	C0221026	Severe Combined Immunodeficiency	X-linked agammaglobulinemia	7990	865	69											
C0027726	C0950121	Nephrotic Syndrome	Denys-Drash Syndrome	21763	294	69											
C0014527	C1275114	Epidermolysis Bullosa	Epidermolysis Bullosa Pruriginosa	5786	69	69											
C0007196	C1861861	Restrictive cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1"	1984	73	69											
C0086543	C1854311	Cataract	"Cataract, posterior polar, 3"	68182	69	69											
C0026846	C0410190	Muscular Atrophy	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	22052	719	69											
C0037769	C3463992	West Syndrome	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1"	16172	69	69											
C0206141	C0242379	Idiopathic Hypereosinophilic Syndrome	Malignant neoplasm of lung	5338	261819	69											
C0026850	C0752123	Muscular Dystrophy	Spinocerebellar Ataxia Type 5	33784	6593	69											
C0009402	C3553943	Colorectal Carcinoma	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	201452	168719	69											
C0085580	C3203102	Essential Hypertension	Idiopathic pulmonary arterial hypertension	31557	3570	69											
C0021364	C0024305	Male infertility	"Lymphoma, Non-Hodgkin"	45629	104075	69											
C0021655	C0025202	Insulin Resistance	melanoma	113459	122636	69											
C0024796	C0241240	Marfan Syndrome	Tall stature	7116	1469	69											
C0011860	C0040034	"Diabetes Mellitus, Non-Insulin-Dependent"	Thrombocytopenia	142114	70120	69											
C0007193	C0020676	"Cardiomyopathy, Dilated"	Hypothyroidism	21868	42860	69											
C0001627	C0268292	Congenital adrenal hyperplasia	Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency	7843	68	68											
C1835614	C4084968	Hereditary Hyperexplexia	Hereditary Hyperekplexia	71	879	68											
C0017922	C3695007	Glycogen Storage Disease Type III	"GLYCOGEN STORAGE DISEASE, TYPE IIIa"	505	70	68											
C0018099	C3536827	Gout	Glycogenosis with glucoaminophosphaturia	17120	6868	68											
C0004352	C3554373	Autistic Disorder	"AUTISM, SUSCEPTIBILITY TO, 18"	21522	134	68											
C0078918	C0268495	"Albinism, Oculocutaneous"	Oculocutaneous albinism type 2	1471	68	68											
C0006142	C0037772	Malignant neoplasm of breast	Spastic Paraplegia	309961	21054	68											
C1863752	C3538946	Enlarged Vestibular Aqueduct	"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT"	321	67	67											
C0017205	C0023521	Gaucher Disease	Globoid cell leukodystrophy	5417	1046	67											
C0023521	C1961835	Globoid cell leukodystrophy	"Gaucher Disease, Type 1"	1046	5417	67											
C0020676	C1846632	Hypothyroidism	Thyroid Dyshormonogenesis 6	42860	69	67											
C0027707	C0149871	"Nephritis, Interstitial"	Deep Vein Thrombosis	22264	82283	67											
C0023521	C0268250	Globoid cell leukodystrophy	"Gaucher Disease, Type 2"	1046	5417	67											
C0085584	C0220658	Encephalopathies	Pfeiffer Syndrome	600000	2199	67											
C1867751	C4016337	"ALZHEIMER DISEASE, EARLY-ONSET, SUSCEPTIBILITY TO"	"PRION DISEASE, SUSCEPTIBILITY TO"	3977	1372	67											
C0001768	C0079744	Agammaglobulinemia	Diffuse Large B-Cell Lymphoma	7575	24275	67											
C0340803	C2675370	Capillary malformation	Capillary Malformation Without Arteriovenous Malformation	2856	67	67											
C0010278	C1864436	Craniosynostosis	Muenke Syndrome	6837	72	67											
C0268445	C1858891	Normokalemic Periodic Paralysis	PARAMYOTONIA CONGENITA/HYPERKALEMIC PERIODIC PARALYSIS	1475	120	67											
C0024899	C0238198	Mastocytosis	Gastrointestinal Stromal Tumors	6995	8324	67											
C0023521	C0268251	Globoid cell leukodystrophy	"Gaucher Disease, Type 3"	1046	5417	67											
C0020678	C0494475	Hypotrichosis	Tonic - clonic seizures	13599	114323	67											
C0004245	C0221055	Atrioventricular Block	Paramyotonia Congenita	12755	6350	67											
C0024305	C1704423	"Lymphoma, Non-Hodgkin"	Milroy Disease	104075	13572	67											
C0264886	C0410190	Conduction disorder of the heart	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	91340	719	67											
C0043346	C4016039	Xeroderma Pigmentosum	"XERODERMA PIGMENTOSUM, TYPE F"	6100	67	67											
C0007115	C3469524	Malignant neoplasm of thyroid	"PROSTATE CANCER, SUSCEPTIBILITY TO"	67377	3698	67											
C0264886	C0410189	Conduction disorder of the heart	"Muscular Dystrophy, Emery-Dreifuss"	91340	721	67											
C0038015	C1846845	Spondyloepiphyseal Dysplasia	Early onset osteoarthritis	29077	698	67											
C0149871	C1260873	Deep Vein Thrombosis	Aortic valve disorder	82283	21735	67											
C0006142	C0086543	Malignant neoplasm of breast	Cataract	309961	68182	67											
C0011053	C3538946	Deafness	"DEAFNESS, AUTOSOMAL RECESSIVE 4, WITH ENLARGED VESTIBULAR AQUEDUCT"	39032	67	67											
C0007193	C2973725	"Cardiomyopathy, Dilated"	Pulmonary arterial hypertension	21868	19359	67											
C0338488	C3553788	Alternating hemiplegia of childhood	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2	225	66	66											
C0857439	C0878683	Pituitary hormone deficiency	Pituitary Dwarfism Type 3	18247	85	66											
C0751083	C1263872	"Duane Retraction Syndrome, Type 2"	"Duane's syndrome, type 2"	676	69	66											
C1148551	C1846142	X-Linked Dyskeratosis Congenita	HOYERAAL-HREIDARSSON SYNDROME	998	80	66											
C0339278	C1690006	Reis-Bucklers' corneal dystrophy	Lattice corneal dystrophy Type I	4409	66	66											
C0238198	C0376358	Gastrointestinal Stromal Tumors	Malignant neoplasm of prostate	8324	120279	66											
C0023461	C1833856	"Leukemia, Mast-Cell"	MASTOCYTOSIS WITH ASSOCIATED HEMATOLOGIC DISORDER	1772	245	66											
C0030360	C0031106	Papillon-Lefevre Disease	"Periodontitis, Juvenile"	441	3346	66											
C0037772	C0162429	Spastic Paraplegia	Malnutrition	21054	138291	66											
C0007115	C0019621	Malignant neoplasm of thyroid	"Histiocytosis, Langerhans-Cell"	67377	10815	66											
C0013261	C1263872	Duane Retraction Syndrome	"Duane's syndrome, type 2"	676	69	66											
C0016037	C0029422	Fibrodysplasia Ossificans Progressiva	Osteochondrodysplasias	2426	28883	66											
C0007785	C0036341	Cerebral Infarction	Schizophrenia	46898	134381	66											
C0005684	C0027051	Malignant neoplasm of urinary bladder	Myocardial Infarction	59248	234627	66											
C0265965	C1846142	Dyskeratosis Congenita	HOYERAAL-HREIDARSSON SYNDROME	998	80	66											
C0009402	C1858439	Colorectal Carcinoma	"CANCER OF MULTIPLE TYPES, SUSCEPTIBILITY TO"	201452	607	66											
C0004352	C1832916	Autistic Disorder	Timothy syndrome	21522	125	66											
C0013336	C0020678	Dwarfism	Hypotrichosis	17277	13599	66											
C2973725	C3714756	Pulmonary arterial hypertension	Intellectual Disability	19359	97825	66											
C0007194	C1384666	Hypertrophic Cardiomyopathy	hearing impairment	18881	87778	66											
C0238358	C2750061	Hypokalemic periodic paralysis	"Hypokalemic Periodic Paralysis, Type 2"	1022	65	65											
C0007134	C0265950	Renal Cell Carcinoma	Venous malformation	47304	32747	65											
C0039373	C4310891	Tay-Sachs Disease	"GM2-GANGLIOSIDOSIS, LATE ONSET"	1787	91	65											
C1142166	C3151464	Brugada Syndrome	"ATRIAL FIBRILLATION, FAMILIAL, 10"	4775	15668	65											
C0020676	C0149871	Hypothyroidism	Deep Vein Thrombosis	42860	82283	65											
C1720189	C2674766	Episodic Ataxia	Myokymia 1	502	203	65											
C0011854	C0553692	"Diabetes Mellitus, Insulin-Dependent"	Brain hemorrhage	92179	80495	65											
C1704375	C2750078	Hypophosphatemic Rickets	"Hypophosphatemic Rickets, Autosomal Recessive, 2"	2522	65	65											
C0023467	C0238198	"Leukemia, Myelocytic, Acute"	Gastrointestinal Stromal Tumors	73162	8324	65											
C0006142	C0398686	Malignant neoplasm of breast	Primary immune deficiency disorder	309961	23967	65											
C0020443	C0242383	Hypercholesterolemia	Age related macular degeneration	42411	29421	65											
C0004238	C0038644	Atrial Fibrillation	Sudden infant death syndrome	72805	11589	65											
C0030567	C1136249	Parkinson Disease	"Mental Retardation, X-Linked"	73702	14636	65											
C0085110	C0272236	Severe Combined Immunodeficiency	Hyperimmunoglobulin M syndrome	7990	384	65											
C0020302	C1856439	Hydrophthalmos	"GLAUCOMA 3, PRIMARY CONGENITAL, A"	592	402	64											
C1533041	C3151055	Primary congenital glaucoma	"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"	852	600000	64											
C0086543	C0266537	Cataract	Congenital lamellar cataract	68182	64	64											
C1274215	C3554355	Autosomal recessive ichthyosis	"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 10"	638	64	64											
C0007847	C1851161	Malignant tumor of cervix	"CERVICAL CANCER, SOMATIC"	36547	275	64											
C0020550	C0025202	Hyperthyroidism	melanoma	47384	122636	64											
C0042514	C1563715	"Tachycardia, Ventricular"	Andersen Syndrome	37860	1329	64											
C0033804	C0268292	Pseudohermaphroditism	Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency	42724	68	64											
C0004352	C0023976	Autistic Disorder	Long QT Syndrome	21522	9236	64											
C0017638	C0085390	Glioma	Li-Fraumeni Syndrome	87189	1216	63											
C0021655	C0265344	Insulin Resistance	Donohue Syndrome	113459	171	63											
C0007193	C1861862	"Cardiomyopathy, Dilated"	"Cardiomyopathy, Familial Hypertrophic, 4"	21868	383	63											
C0033804	C0266432	Pseudohermaphroditism	Leydig cell agenesis	42724	87	63											
C0342727	C3696376	"3-@METHYLGLUTACONIC ACIDURIA, TYPE I"	3-Methylglutaconic Aciduria	894	181	63											
C0221023	C0340970	Cyclic neutropenia	Congenital neutropenia	453	680	63											
C0023467	C4016396	"Leukemia, Myelocytic, Acute"	"LEUKEMIA, PHILADELPHIA CHROMOSOME-POSITIVE, RESISTANT TO IMATINIB"	73162	209	63											
C0030305	C1842402	Pancreatitis	TROPICAL CALCIFIC PANCREATITIS	65210	63	63											
C0023234	C0038015	Legg-Calve-Perthes Disease	Spondyloepiphyseal Dysplasia	2077	29077	63											
C0035344	C4072980	Retinopathy of Prematurity	Exudative vitreoretinopathy	7447	400	63											
C0007193	C0265950	"Cardiomyopathy, Dilated"	Venous malformation	21868	32747	63											
C0002736	C0236642	Amyotrophic Lateral Sclerosis	Pick Disease of the Brain	24280	1447	63											
C0020676	C0393584	Hypothyroidism	Benign Hereditary Chorea	42860	16885	63											
C0023976	C0524528	Long QT Syndrome	Pervasive Development Disorder	9236	30510	63											
C0024796	C0027051	Marfan Syndrome	Myocardial Infarction	7116	234627	63											
C0008533	C0241889	Hemophilia B	Family history	4899	117019	62											
C0019569	C0027819	Hirschsprung Disease	Neuroblastoma	4704	39783	62											
C0349788	C1843896	Arrhythmogenic Right Ventricular Dysplasia	"Arrhythmogenic Right Ventricular Dysplasia, Familial, 8"	2509	62	62											
C0162871	C0268338	"Aortic Aneurysm, Abdominal"	"Ehlers-Danlos Syndrome, Type IV"	27199	3717	62											
C0035334	C0271093	Retinitis Pigmentosa	Stargardt's disease	10816	268	62											
C0021364	C1846223	Male infertility	Adrenal hypoplasia	45629	6817	62											
C0021364	C0425965	Male infertility	Possible pregnancy (finding)	45629	6133	62											
C1850386	C4016946	GIANT AXONAL NEUROPATHY 1	"PSEUDOHYPOALDOSTERONISM, TYPE IID, AUTOSOMAL DOMINANT OR RECESSIVE"	259	66587	62											
C0085859	C1855869	Polyglandular Type I Autoimmune Syndrome	"Autoimmune Polyendocrinopathy Syndrome, Type I, Autosomal Dominant"	1195	62	62											
C0431350	C1858108	Primary microcephaly	"Microcephaly, Primary Autosomal Recessive, 3"	720	62	62											
C0013720	C0162871	Ehlers-Danlos Syndrome	"Aortic Aneurysm, Abdominal"	3717	27199	62											
C0023976	C3151464	Long QT Syndrome	"ATRIAL FIBRILLATION, FAMILIAL, 10"	9236	15668	62											
C0027819	C0085758	Neuroblastoma	"Aganglionosis, Colonic"	39783	4776	62											
C0011860	C2985437	"Diabetes Mellitus, Non-Insulin-Dependent"	Null Allele	142114	9483	62											
C0031269	C0345893	Peutz-Jeghers Syndrome	Juvenile polyposis syndrome	2377	217	61											
C0022735	C1859979	Klinefelter Syndrome	Precocious puberty in males	4232	2767	61											
C0241889	C0432273	Family history	Worth disease	117019	5369	61											
C0339527	C3280062	Leber Congenital Amaurosis	LEBER CONGENITAL AMAUROSIS 16	931	61	61											
C0021359	C0342384	Infertility	Idiopathic hypogonadotropic hypogonadism	89090	337	61											
C0028326	C1969056	Noonan Syndrome	LEOPARD SYNDROME 2	2113	116	61											
C0410189	C0917713	"Muscular Dystrophy, Emery-Dreifuss"	Becker Muscular Dystrophy	721	11109	61											
C0268151	C3278146	Classical galactosemia	"GALACTOSEMIA, DUARTE VARIANT"	2223	75	61											
C0005684	C3469522	Malignant neoplasm of urinary bladder	"BREAST CANCER, SUSCEPTIBILITY TO"	59248	12696	61											
C0020538	C0220658	Hypertensive disease	Pfeiffer Syndrome	480148	2199	61											
C0236642	C0752347	Pick Disease of the Brain	Lewy Body Disease	1447	5198	61											
C0029925	C0238198	Ovarian Carcinoma	Gastrointestinal Stromal Tumors	34444	8324	61											
C0031511	C0238198	Pheochromocytoma	Gastrointestinal Stromal Tumors	21435	8324	61											
C0020608	C0241889	Hypodontia	Family history	4163	117019	61											
C0035334	C0751122	Retinitis Pigmentosa	Infantile Severe Myoclonic Epilepsy	10816	4923	61											
C0013336	C0035334	Dwarfism	Retinitis Pigmentosa	17277	10816	61											
C0008533	C0015526	Hemophilia B	Factor XII Deficiency	4899	871	60											
C0936016	C1846223	Testicular Feminization	Adrenal hypoplasia	2842	6817	60											
C0003486	C4016054	Aortic Aneurysm	"MARFAN SYNDROME, NEONATAL"	60865	429	60											
C0024591	C0221055	Malignant hyperpyrexia due to anesthesia	Paramyotonia Congenita	6029	6350	60											
C0268312	C2062350	Progressive intrahepatic cholestasis	drug-induced cholestasis	1170	1842	60											
C0085261	C3277233	Proteus Syndrome	"PROTEUS SYNDROME, SOMATIC"	729	60	60											
C0033300	C4016241	Progeria	"HUTCHINSON-GILFORD PROGERIA SYNDROME, ATYPICAL"	1917	60	60											
C1858439	C3469524	"CANCER OF MULTIPLE TYPES, SUSCEPTIBILITY TO"	"PROSTATE CANCER, SUSCEPTIBILITY TO"	607	3698	60											
C0221355	C1858854	Macrocephaly	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS	2264	138	60											
C0009691	C0018522	Congenital cataract	Hallermann's Syndrome	4934	201	60											
C1318518	C4272578	Infantile malignant osteopetrosis	osteopetrosis - autosomal recessive	173	322	60											
C0011860	C0024305	"Diabetes Mellitus, Non-Insulin-Dependent"	"Lymphoma, Non-Hodgkin"	142114	104075	60											
C0035334	C0339537	Retinitis Pigmentosa	Cone monochromatism	10816	706	60											
C0011860	C0031511	"Diabetes Mellitus, Non-Insulin-Dependent"	Pheochromocytoma	142114	21435	60											
C0007193	C0152171	"Cardiomyopathy, Dilated"	Idiopathic pulmonary hypertension	21868	4458	60											
C0238261	C1704423	Lymphedema praecox	Milroy Disease	59	13572	59											
C0027708	C0268747	Nephroblastoma	Diffuse mesangial sclerosis	12539	171	59											
C0008533	C0149871	Hemophilia B	Deep Vein Thrombosis	4899	82283	59											
C1856883	C3150889	"FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF"	"FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 2"	176	59	59											
C0035412	C0085390	Rhabdomyosarcoma	Li-Fraumeni Syndrome	13631	1216	59											
C0001627	C0342471	Congenital adrenal hyperplasia	3 beta-Hydroxysteroid dehydrogenase deficiency	7843	86	59											
C0029422	C0376358	Osteochondrodysplasias	Malignant neoplasm of prostate	28883	120279	59											
C0023522	C4017093	"Leukodystrophy, Metachromatic"	"METACHROMATIC LEUKODYSTROPHY, LATE-ONSET"	1544	59	59											
C0033804	C0342471	Pseudohermaphroditism	3 beta-Hydroxysteroid dehydrogenase deficiency	42724	86	59											
C0025239	C3149695	Melorheostosis	Melorheostosis with Osteopoikilosis	437	59	59											
C0266526	C4072980	Norrie disease	Exudative vitreoretinopathy	292	400	59											
C2678065	C3714934	Myofibrillar Myopathy	"MYOPATHY, MYOFIBRILLAR, 3"	211	230	59											
C0020649	C0028756	Hypotension	"Obesity, Morbid"	63955	21148	59											
C0346429	C2751642	Multiple malignancy	GLIOMA SUSCEPTIBILITY 2	215327	825	59											
C0398686	C2239176	Primary immune deficiency disorder	Liver carcinoma	23967	130028	59											
C0238261	C4016108	Lymphedema praecox	"LYMPHEDEMA, HEREDITARY, I"	59	13495	59											
C0020437	C0342637	Hypercalcemia	"Hypocalciuric hypercalcemia, familial, type 1"	20038	59	59											
C0027794	C0300948	Neural Tube Defects	Caudal Regression Syndrome	29820	321	59											
C1142166	C2677106	Brugada Syndrome	"Atrial Fibrillation, Familial, 7"	4775	18813	59											
C0028326	C0029422	Noonan Syndrome	Osteochondrodysplasias	2113	28883	59											
C0021655	C0026769	Insulin Resistance	Multiple Sclerosis	113459	80883	59											
C0025149	C0032580	Medulloblastoma	Adenomatous Polyposis Coli	8657	8907	59											
C0027726	C3151356	Nephrotic Syndrome	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	21763	112283	59											
C0010054	C0027726	Coronary Arteriosclerosis	Nephrotic Syndrome	165082	21763	59											
C0025202	C0238462	melanoma	Medullary carcinoma of thyroid	122636	7190	59											
C0038015	C0376358	Spondyloepiphyseal Dysplasia	Malignant neoplasm of prostate	29077	120279	59											
C0242383	C2931788	Age related macular degeneration	Atypical Hemolytic Uremic Syndrome	29421	1304	59											
C0240182	C0544855	Leukonychia	Leukonychia totalis	239	58	58											
C3890413	C4017450	HEMOGLOBIN I PHENOTYPE	HEMOGLOBIN I (PHILADELPHIA) PHENOTYPE	3633	58	58											
C0034013	C0376358	Precocious Puberty	Malignant neoplasm of prostate	5742	120279	58											
C0007115	C0029422	Malignant neoplasm of thyroid	Osteochondrodysplasias	67377	28883	58											
C0022593	C0079295	Keratosis	Epidermolysis Bullosa Herpetiformis Dowling-Meara	26860	831	58											
C0022593	C0079298	Keratosis	Epidermolysis Bullosa Simplex	26860	826	58											
C0027051	C0027707	Myocardial Infarction	"Nephritis, Interstitial"	234627	22264	58											
C0206157	C1853154	"Myopathies, Nemaline"	Nemaline Myopathy 7	581	84	58											
C0017662	C0242383	"Glomerulonephritis, Membranoproliferative"	Age related macular degeneration	3840	29421	58											
C0013264	C0410189	"Muscular Dystrophy, Duchenne"	"Muscular Dystrophy, Emery-Dreifuss"	10808	721	58											
C0024796	C0040038	Marfan Syndrome	Thromboembolism	7116	70934	58											
C0007194	C1969057	Hypertrophic Cardiomyopathy	Noonan Syndrome 5	18881	414	58											
C0018799	C0079541	Heart Diseases	Holoprosencephaly	600000	2050	57											
C0162566	C0162569	Porphyria Cutanea Tarda	Hepatoerythropoietic Porphyria	2170	259	57											
C0270853	C1850778	"Myoclonic Epilepsy, Juvenile"	"MYOCLONIC EPILEPSY, JUVENILE, SUSCEPTIBILITY TO, 1"	1264	57	57											
C4015858	C4017425	APOE2 ISOFORMS	APOE2-FUKUOKA PHENOTYPE	419	491394	57											
C0039743	C0410529	Thanatophoric Dysplasia	Hypochondroplasia	502	271	57											
C0030443	C3714580	Familial Periodic Paralysis	Hypokalemic periodic paralysis type 1	1564	81	57											
C0032580	C0476089	Adenomatous Polyposis Coli	Endometrial Carcinoma	8907	32459	57											
C3553844	C4016275	HYPOGONADOTROPIC HYPOGONADISM 11 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 11 WITHOUT ANOSMIA	6872	57	57											
C0339278	C1641846	Reis-Bucklers' corneal dystrophy	Groenouw corneal dystrophy type I	4409	57	57											
C0014474	C0029463	Ependymoma	Osteosarcoma	6230	33353	57											
C0005684	C1858438	Malignant neoplasm of urinary bladder	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	59248	6432	57											
C0150312	C0220658	Present	Pfeiffer Syndrome	600000	2199	57											
C0085110	C2239176	Severe Combined Immunodeficiency	Liver carcinoma	7990	130028	57											
C0011436	C0268362	Dentinogenesis Imperfecta	Osteogenesis imperfecta type III	684	492	57											
C0007193	C0018995	"Cardiomyopathy, Dilated"	Hemochromatosis	21868	10363	57											
C0162809	C4016875	Kallmann Syndrome	HYPOGONADOTROPIC HYPOGONADISM 8 WITHOUT ANOSMIA	855	74	57											
C0038015	C0270612	Spondyloepiphyseal Dysplasia	Leukoencephalopathies	29077	29481	57											
C0007193	C3151356	"Cardiomyopathy, Dilated"	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	21868	112283	57											
C0002768	C3714756	Congenital Pain Insensitivity	Intellectual Disability	653	97825	57											
C0007193	C0392514	"Cardiomyopathy, Dilated"	Hereditary hemochromatosis	21868	9950	57											
C0018553	C3469522	"Hamartoma Syndrome, Multiple"	"BREAST CANCER, SUSCEPTIBILITY TO"	1768	12696	57											
C0035334	C2985437	Retinitis Pigmentosa	Null Allele	10816	9483	57											
C0007193	C0011860	"Cardiomyopathy, Dilated"	"Diabetes Mellitus, Non-Insulin-Dependent"	21868	142114	57											
C0007193	C0025362	"Cardiomyopathy, Dilated"	Mental Retardation	21868	112283	57											
C0011860	C0025202	"Diabetes Mellitus, Non-Insulin-Dependent"	melanoma	142114	122636	57											
C0039585	C1846223	Androgen-Insensitivity Syndrome	Adrenal hypoplasia	2447	6817	56											
C0268301	C1846223	Reifenstein Syndrome	Adrenal hypoplasia	2462	6817	56											
C0079474	C1275114	Hallopeau-Siemens Disease	Epidermolysis Bullosa Pruriginosa	1183	69	56											
C0079294	C1275114	Epidermolysis Bullosa Dystrophica	Epidermolysis Bullosa Pruriginosa	1176	69	56											
C0431350	C1837501	Primary microcephaly	"Microcephaly, Primary Autosomal Recessive, 5"	720	56	56											
C0038015	C0265279	Spondyloepiphyseal Dysplasia	Kniest dysplasia	29077	78	56											
C0020538	C0272375	Hypertensive disease	Antithrombin III Deficiency	480148	2016	56											
C0018784	C0162361	Sensorineural Hearing Loss	Hidrotic Ectodermal Dysplasia	29379	5832	56											
C0221052	C4016208	Chronic berylliosis	"BERYLLIUM DISEASE, CHRONIC, SUSCEPTIBILITY TO"	457	71	56											
C0019569	C0085584	Hirschsprung Disease	Encephalopathies	4704	600000	56											
C0152171	C0242379	Idiopathic pulmonary hypertension	Malignant neoplasm of lung	4458	261819	56											
C0033804	C3668935	Pseudohermaphroditism	"Luteinizing Hormone Resistance, Female"	42724	78	56											
C0238157	C0403440	Benign hematuria	Thin basement membrane disease	1429	358	56											
C0085584	C0085758	Encephalopathies	"Aganglionosis, Colonic"	600000	4776	56											
C0027819	C1846862	Neuroblastoma	PARKINSON DISEASE 8	39783	10370	56											
C0270862	C1719788	Hemiplegic migraine	Episodic ataxia type 1	999	243	56											
C0007134	C2674950	Renal Cell Carcinoma	"LUNG CANCER, SUSCEPTIBILITY TO"	47304	5827	56											
C0004238	C0011854	Atrial Fibrillation	"Diabetes Mellitus, Insulin-Dependent"	72805	92179	56											
C0004352	C4281785	Autistic Disorder	Childhood Absence Epilepsy	21522	8098	56											
C0035309	C0037772	Retinal Diseases	Spastic Paraplegia	134253	21054	56											
C0006142	C0020615	Malignant neoplasm of breast	Hypoglycemia	309961	45772	56											
C0019569	C0241889	Hirschsprung Disease	Family history	4704	117019	56											
C0008533	C0015519	Hemophilia B	Factor X Deficiency	4899	560	55											
C0272236	C0398689	Hyperimmunoglobulin M syndrome	"Hyper-IgM Immunodeficiency Syndrome, Type 1"	384	55	55											
C0018523	C2751506	Hallervorden-Spatz Syndrome	"NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1, ATYPICAL"	646	55	55											
C0282193	C3854388	Iron Overload	Hyperferritinaemia	17943	160	55											
C0014544	C1142166	Epilepsy	Brugada Syndrome	140074	4775	55											
C0398794	C0587248	Hypopigmentation-immunodeficiency disease	Costello syndrome	600000	665	55											
C0271093	C0854723	Stargardt's disease	Retinal Dystrophies	268	9449	55											
C0410538	C4310948	Pseudoachondroplasia	"PSEUDOACHONDROPLASIA, SEVERE"	237	55	55											
C0752124	C1719788	Spinocerebellar Ataxia Type 6	Episodic ataxia type 1	6691	243	55											
C0020678	C0543888	Hypotrichosis	Epileptic encephalopathy	13599	113136	55											
C0029925	C1336839	Ovarian Carcinoma	Type 1 Papillary Renal Cell Carcinoma	34444	2737	55											
C0010674	C4016792	Cystic Fibrosis	"PANCREATITIS, IDIOPATHIC, SUSCEPTIBILITY TO"	49380	107	55											
C0035334	C3151202	Retinitis Pigmentosa	LEBER CONGENITAL AMAUROSIS 8	10816	129	54											
C0265253	C2020284	Stickler syndrome	"Stickler syndrome, type 1"	344	54	54											
C0085390	C2675080	Li-Fraumeni Syndrome	Li-Fraumeni-Like Syndrome	1216	54	54											
C0031269	C0242379	Peutz-Jeghers Syndrome	Malignant neoplasm of lung	2377	261819	54											
C0339526	C1419614	Autosomal recessive retinitis pigmentosa	RETINITIS PIGMENTOSA 28	1150	346	54											
C0270862	C0752124	Hemiplegic migraine	Spinocerebellar Ataxia Type 6	999	6691	54											
C0035334	C2750789	Retinitis Pigmentosa	"RETINITIS PIGMENTOSA, CONCENTRIC"	10816	54	54											
C0026705	C0342841	Mucopolysaccharidosis II	"Hunter's syndrome, severe form"	1323	54	54											
C0079541	C4083050	Holoprosencephaly	Tooth agenesis	2050	12777	54											
C0020071	C4016941	"Hereditary Sensory Autonomic Neuropathy, Type 1"	"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, SEVERE"	2015	67	54											
C0000889	C0010278	Acanthosis Nigricans	Craniosynostosis	2320	6837	54											
C0018799	C3495676	Heart Diseases	Anorectal Malformations	600000	1625	54											
C0684219	C1719788	Myokymia	Episodic ataxia type 1	641	243	54											
C1719788	C2674766	Episodic ataxia type 1	Myokymia 1	243	203	54											
C0027794	C1838568	Neural Tube Defects	Sacral defect and anterior sacral meningocele	29820	54	54											
C0149521	C1842402	"Pancreatitis, Chronic"	TROPICAL CALCIFIC PANCREATITIS	20064	63	54											
C0031269	C0150312	Peutz-Jeghers Syndrome	Present	2377	600000	54											
C0003855	C0027831	Arteriovenous fistula	Neurofibromatosis 1	22316	10013	54											
C0011195	C0036391	Dejerine-Sottas Disease	Schwartz-Jampel Syndrome	6822	28949	54											
C0175699	C4228353	Saethre-Chotzen Syndrome	Cardiac malformations	1615	168650	54											
C0006142	C1274233	Malignant neoplasm of breast	T-lymphocyte immunodeficiency	309961	34915	54											
